"","GS.Adjusted"
"399",156.893433
"400",153.324509
"401",155.833099
"402",154.781403
"403",148.557373
"404",151.678024
"405",153.445236
"406",144.221252
"407",142.152328
"408",143.609207
"409",140.669601
"410",137.962738
"411",136.204147
"412",136.419678
"413",134.842102
"414",137.764481
"415",134.230072
"416",134.402481
"417",134.031784
"418",139.505783
"419",141.350723
"420",142.514389
"421",144.488464
"422",138.704163
"423",140.721283
"424",146.316071
"425",139.367905
"426",135.850723
"427",135.368011
"428",132.936996
"429",116.808014
"430",114.661484
"431",98.704926
"432",93.101563
"433",111.894287
"434",104.118622
"435",107.799576
"436",114.652893
"437",116.808014
"438",118.954536
"439",104.049622
"440",110.342606
"441",115.945953
"442",113.394272
"443",110.342606
"444",106.894394
"445",99.135918
"446",97.41185
"447",87.368912
"448",76.550194
"449",95.687752
"450",105.946159
"451",97.541138
"452",96.894608
"453",98.532532
"454",104.739304
"455",104.609955
"456",99.18766
"457",93.887161
"458",86.814056
"459",80.311661
"460",80.908295
"461",84.444847
"462",78.781174
"463",79.983086
"464",77.034515
"465",82.144806
"466",75.599144
"467",69.797142
"468",67.254959
"469",61.57402
"470",64.574448
"471",57.752129
"472",60.519089
"473",57.70023
"474",54.033997
"475",53.636215
"476",47.713161
"477",44.963459
"478",46.096188
"479",58.296864
"480",62.066864
"481",66.148155
"482",68.301247
"483",56.861492
"484",56.204319
"485",59.619816
"486",58.391987
"487",61.150314
"488",66.71022
"489",62.92292
"490",61.850693
"491",60.276958
"492",58.573544
"493",57.466759
"494",65.715836
"495",68.119659
"496",69.217773
"497",69.805779
"498",66.580498
"499",65.024101
"500",66.096313
"501",65.689873
"502",66.200027
"503",70.955788
"504",72.970512
"505",75.019814
"506",76.766472
"507",76.705933
"508",73.065636
"509",73.852463
"510",72.564125
"511",67.159851
"512",67.376007
"513",65.447777
"514",63.839455
"515",63.165016
"516",51.189171
"517",60.441284
"518",61.418373
"519",64.773315
"520",64.159401
"521",67.670021
"522",75.832626
"523",71.526489
"524",69.805779
"525",72.261459
"526",71.604332
"527",76.066071
"528",80.285736
"529",83.502296
"530",84.6437
"531",78.167244
"532",81.89402
"533",82.646309
"534",83.39856
"535",74.111893
"536",73.065636
"537",74.371292
"538",73.54248
"539",69.612778
"540",80.836754
"541",78.176369
"542",80.11512
"543",79.184875
"544",75.003052
"545",71.612411
"546",74.307526
"547",71.047302
"548",65.770058
"549",64.292084
"550",74.142357
"551",80.323792
"552",84.549072
"553",85.896637
"554",81.636559
"555",86.061844
"556",91.504227
"557",86.33136
"558",84.609932
"559",97.311829
"560",96.155518
"561",98.198639
"562",97.363991
"563",93.964661
"564",87.339813
"565",92.173698
"566",95.886024
"567",99.302742
"568",103.806244
"569",101.415428
"570",100.919846
"571",99.763557
"572",108.092392
"573",113.152298
"574",100.076523
"575",105.362488
"576",105.362488
"577",104.849533
"578",99.989578
"579",104.640892
"580",104.753891
"581",106.770905
"582",105.458122
"583",105.110336
"584",104.9104
"585",110.570168
"586",111.717789
"587",110.483223
"588",116.638634
"589",117.542801
"590",121.037682
"591",116.26474
"592",121.359398
"593",118.047005
"594",117.725349
"595",112.378525
"596",116.151741
"597",116.847229
"598",124.454437
"599",122.715675
"600",118.620804
"601",119.553467
"602",118.847443
"603",123.815765
"604",122.037628
"605",126.082016
"606",126.012268
"607",125.803055
"608",124.757141
"609",123.902893
"610",130.283279
"611",129.882339
"612",129.307159
"613",130.143875
"614",127.851433
"615",126.517799
"616",126.944901
"617",124.652557
"618",125.654915
"619",121.79361
"620",124.722275
"621",124.757141
"622",119.422691
"623",123.066116
"624",124.338699
"625",125.890198
"626",127.903709
"627",130.187393
"628",128.513824
"629",128.409271
"630",125.070969
"631",127.659653
"632",124.242867
"633",120.765045
"634",124.82682
"635",123.658882
"636",130.257141
"637",130.448883
"638",135.330063
"639",136.707275
"640",136.707275
"641",139.487747
"642",139.287277
"643",139.862595
"644",144.212051
"645",143.575684
"646",142.834824
"647",139.932297
"648",138.973495
"649",141.570999
"650",142.337982
"651",143.035324
"652",143.967987
"653",146.992599
"654",145.345184
"655",142.643082
"656",139.77536
