DATE,GBP1MTD156N
2016-10-07,0.26625
2016-10-10,0.26856
2016-10-11,0.26694
2016-10-12,0.26663
2016-10-13,0.2685
2016-10-14,0.26631
2016-10-17,0.26513
2016-10-18,0.26481
2016-10-19,0.2635
2016-10-20,0.2635
2016-10-21,0.26338
2016-10-24,0.2625
2016-10-25,0.26313
2016-10-26,0.26375
2016-10-27,0.2675
2016-10-28,0.26625
2016-10-31,0.265
2016-11-01,0.26563
2016-11-02,0.26563
2016-11-03,0.26563
2016-11-04,0.26563
2016-11-07,0.26125
2016-11-08,0.2625
2016-11-09,0.26088
2016-11-10,0.26588
2016-11-11,0.26675
2016-11-14,0.26438
2016-11-15,0.26675
2016-11-16,0.26675
2016-11-17,0.26138
2016-11-18,0.263
2016-11-21,0.2605
2016-11-22,0.26175
2016-11-23,0.26175
2016-11-24,0.26113
2016-11-25,0.26088
2016-11-28,0.26075
2016-11-29,0.25825
2016-11-30,0.26075
2016-12-01,0.25513
2016-12-02,0.25938
2016-12-05,0.26125
2016-12-06,0.26188
2016-12-07,0.25938
2016-12-08,0.26
2016-12-09,0.25888
2016-12-12,0.25638
2016-12-13,0.26238
2016-12-14,0.26238
2016-12-15,0.2605
2016-12-16,0.2605
2016-12-19,0.26175
2016-12-20,0.25488
2016-12-21,0.25356
2016-12-22,0.26013
2016-12-23,0.25825
2016-12-26,.
2016-12-27,.
2016-12-28,0.25825
2016-12-29,0.25763
2016-12-30,0.25575
2017-01-02,.
2017-01-03,0.25813
2017-01-04,0.25781
2017-01-05,0.25794
2017-01-06,0.25844
2017-01-09,0.25844
2017-01-10,0.26094
2017-01-11,0.26156
2017-01-12,0.26375
2017-01-13,0.26444
2017-01-16,0.26256
2017-01-17,0.26219
2017-01-18,0.26219
2017-01-19,0.26094
2017-01-20,0.26219
2017-01-23,0.26519
2017-01-24,0.26494
2017-01-25,0.26494
2017-01-26,0.26419
2017-01-27,0.26319
2017-01-30,0.26156
2017-01-31,0.26094
2017-02-01,0.26219
2017-02-02,0.26069
2017-02-03,0.25931
2017-02-06,0.26281
2017-02-07,0.2675
2017-02-08,0.268
2017-02-09,0.26656
2017-02-10,0.26525
2017-02-13,0.26494
2017-02-14,0.26088
2017-02-15,0.26088
2017-02-16,0.26338
2017-02-17,0.26275
2017-02-20,0.26281
2017-02-21,0.26163
2017-02-22,0.26238
2017-02-23,0.265
2017-02-24,0.26506
2017-02-27,0.26313
2017-02-28,0.26038
2017-03-01,0.25788
2017-03-02,0.25725
2017-03-03,0.25725
2017-03-06,0.26063
2017-03-07,0.26038
2017-03-08,0.25913
2017-03-09,0.25913
2017-03-10,0.2585
2017-03-13,0.2585
2017-03-14,0.259
2017-03-15,0.25881
2017-03-16,0.25988
2017-03-17,0.25638
2017-03-20,0.25638
2017-03-21,0.25638
2017-03-22,0.25925
2017-03-23,0.2595
2017-03-24,0.25988
2017-03-27,0.25738
2017-03-28,0.25738
2017-03-29,0.25519
2017-03-30,0.25669
2017-03-31,0.25669
2017-04-03,0.25388
2017-04-04,0.25638
2017-04-05,0.25638
2017-04-06,0.25575
2017-04-07,0.2555
2017-04-10,0.2555
2017-04-11,0.25538
2017-04-12,0.25563
2017-04-13,0.25563
2017-04-14,.
2017-04-17,.
2017-04-18,0.25563
2017-04-19,0.25688
2017-04-20,0.2545
2017-04-21,0.2545
2017-04-24,0.25613
2017-04-25,0.25625
2017-04-26,0.25425
2017-04-27,0.25481
2017-04-28,0.25513
2017-05-01,.
2017-05-02,0.25481
2017-05-03,0.25388
2017-05-04,0.25531
2017-05-05,0.25638
2017-05-08,0.25544
2017-05-09,0.25419
2017-05-10,0.255
2017-05-11,0.25481
2017-05-12,0.25513
2017-05-15,0.25513
2017-05-16,0.25513
2017-05-17,0.25625
2017-05-18,0.25488
2017-05-19,0.25263
2017-05-22,0.25263
2017-05-23,0.25275
2017-05-24,0.25281
2017-05-25,0.25281
2017-05-26,0.25263
2017-05-29,.
2017-05-30,0.25225
2017-05-31,0.25144
2017-06-01,0.25231
2017-06-02,0.25044
2017-06-05,0.24919
2017-06-06,0.2495
2017-06-07,0.25288
2017-06-08,0.25275
2017-06-09,0.25138
2017-06-12,0.25138
2017-06-13,0.252
2017-06-14,0.252
2017-06-15,0.25131
2017-06-16,0.252
2017-06-19,0.25163
2017-06-20,0.25106
2017-06-21,0.25169
2017-06-22,0.25231
2017-06-23,0.25169
2017-06-26,0.25094
2017-06-27,0.25138
2017-06-28,0.25388
2017-06-29,0.25575
2017-06-30,0.25238
2017-07-03,0.25263
2017-07-04,0.25394
2017-07-05,0.25444
2017-07-06,0.25169
2017-07-07,0.25419
2017-07-10,0.2545
2017-07-11,0.25606
2017-07-12,0.253
2017-07-13,0.25338
2017-07-14,0.25138
2017-07-17,0.252
2017-07-18,0.25238
2017-07-19,0.254
2017-07-20,0.25506
2017-07-21,0.25456
2017-07-24,0.25313
2017-07-25,0.25419
2017-07-26,0.2545
2017-07-27,0.25356
2017-07-28,0.25388
2017-07-31,0.25231
2017-08-01,0.25388
2017-08-02,0.2545
2017-08-03,0.25513
2017-08-04,0.2495
2017-08-07,0.25
2017-08-08,0.25013
2017-08-09,0.24956
2017-08-10,0.24731
2017-08-11,0.24963
2017-08-14,0.2515
2017-08-15,0.25044
2017-08-16,0.25144
2017-08-17,0.25263
