"","x"
"1",-0.00936010521303476
"2",0.0010052626907191
"3",0.0232395036420643
"4",0.00171651547365403
"5",0.0195547072368365
"6",0.0179533094041178
"7",0.00990920804904505
"8",-0.00187103754038898
"9",-0.00168689420418833
"10",-0.0167888509481102
"11",0.00290497154230085
"12",0.0126638182416539
"13",-0.00155072515274934
"14",0.0344814255306005
"15",-0.032461232722425
"16",0.00201604959835233
"17",-0.0115891768687426
"18",-0.0107665946095157
"19",0.016059664660772
"20",-0.000754451179180826
"21",0.00672260258582558
"22",-0.00413160833871284
"23",0.00983149779896308
"24",-0.00513775538238015
"25",0.00163757670216036
"26",-0.00290273629614202
"27",-0.0101317705596431
"28",0.00660906898329827
"29",0.0226557969228312
"30",-0.00267139857022247
"31",0.000461064234881015
"32",0.0183625677434893
"33",-0.00358207554874301
"34",-0.00537436624913123
"35",-0.011344191255942
"36",-0.0116145324206931
"37",-0.0878613557913344
"38",0.0289146479195415
"39",-0.0104133672077218
"40",-0.0201863833736198
"41",-0.0294054844082305
"42",0.038056042272399
"43",-0.00905950333440231
"44",0.0219967204435525
"45",0.00876409854455584
"46",0.00445219134299624
"47",-0.0177780593228265
"48",0.00561149335430411
"49",0.00369043413514447
"50",-0.00945266487171725
"51",0.0171387315008555
"52",0.00767643761886827
"53",0.0335011305047521
"54",-0.00413270427429957
"55",0.00857884729484226
"56",-0.000755408193651164
"57",-0.00882359159080259
"58",-0.014929591439846
"59",0.00212581976135251
"60",-0.00275471743320921
"61",-0.004754112972706
"62",0.0197406798466675
"63",-0.00458741673254259
"64",-0.00412747768194688
"65",0.00484568804866115
"66",0.000526333171720239
"67",-0.0101929341573355
"68",0.000579786484957268
"69",-0.00265991207974192
"70",0.0381025803599169
"71",0.00176978296749652
"72",0.00857183993215038
"73",0.0116504071670924
"74",0.003232523524618
"75",0.0109399310463365
"76",-0.00767254295904074
"77",0.0218686117799907
"78",-0.00350795410013216
"79",-0.00236032532275665
"80",-0.0256059418721026
"81",-0.000137235526161739
"82",0.00415460677244983
"83",0.00938672796705831
"84",0.0257532525257691
"85",-0.000527961120993403
"86",-0.0100405735918949
"87",0.00717583689400669
"88",-0.0154338505126344
"89",0.0195301100587484
"90",-0.00581912689662634
"91",-0.00799004609393439
"92",0.0120934206102108
"93",0.00118816267992639
"94",0.0129338121845466
"95",-0.00483061199726631
"96",0.00643569204077554
"97",-0.00945032182928163
"98",-0.0125931834129851
"99",-0.000664852322353582
"100",0.0128204191976797
"101",0.0154637691146133
"102",-0.00509915534739047
"103",-0.000476675400282289
"104",-0.00434386665229081
"105",-0.00152484833127353
"106",-0.00880211927302632
"107",-0.0326358997716811
"108",0.0225122175449668
"109",0.00928760818263363
